mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 24500, Residual: 9.007902e+03, Error: 9.671451e+01
Iteration 24600, Residual: 8.907550e+03, Error: 9.571025e+01
Iteration 24700, Residual: 8.808468e+03, Error: 9.471696e+01
Iteration 24800, Residual: 8.710637e+03, Error: 9.373453e+01
Iteration 24900, Residual: 8.614038e+03, Error: 9.276280e+01
Iteration 25000, Residual: 8.518653e+03, Error: 9.180165e+01
Iteration 25100, Residual: 8.424462e+03, Error: 9.085096e+01
Iteration 25200, Residual: 8.331447e+03, Error: 8.991059e+01
Iteration 25300, Residual: 8.239591e+03, Error: 8.898042e+01
Iteration 25400, Residual: 8.148876e+03, Error: 8.806033e+01
Iteration 25500, Residual: 8.059285e+03, Error: 8.715020e+01
Iteration 25600, Residual: 7.970801e+03, Error: 8.624990e+01
Iteration 25700, Residual: 7.883408e+03, Error: 8.535932e+01
Iteration 25800, Residual: 7.797089e+03, Error: 8.447835e+01
Iteration 25900, Residual: 7.711828e+03, Error: 8.360687e+01
Iteration 26000, Residual: 7.627610e+03, Error: 8.274476e+01
Iteration 26100, Residual: 7.544419e+03, Error: 8.189191e+01
Iteration 26200, Residual: 7.462240e+03, Error: 8.104823e+01
Iteration 26300, Residual: 7.381059e+03, Error: 8.021359e+01
Iteration 26400, Residual: 7.300861e+03, Error: 7.938789e+01
Iteration 26500, Residual: 7.221631e+03, Error: 7.857102e+01
Iteration 26600, Residual: 7.143356e+03, Error: 7.776289e+01
Iteration 26700, Residual: 7.066021e+03, Error: 7.696339e+01
Iteration 26800, Residual: 6.989613e+03, Error: 7.617242e+01
Iteration 26900, Residual: 6.914120e+03, Error: 7.538988e+01
Iteration 27000, Residual: 6.839527e+03, Error: 7.461567e+01
Iteration 27100, Residual: 6.765823e+03, Error: 7.384970e+01
Iteration 27200, Residual: 6.692993e+03, Error: 7.309186e+01
Iteration 27300, Residual: 6.621027e+03, Error: 7.234208e+01
Iteration 27400, Residual: 6.549912e+03, Error: 7.160024e+01
Iteration 27500, Residual: 6.479635e+03, Error: 7.086627e+01
Iteration 27600, Residual: 6.410186e+03, Error: 7.014007e+01
Iteration 27700, Residual: 6.341553e+03, Error: 6.942156e+01
Iteration 27800, Residual: 6.273724e+03, Error: 6.871063e+01
Iteration 27900, Residual: 6.206687e+03, Error: 6.800722e+01
Iteration 28000, Residual: 6.140434e+03, Error: 6.731123e+01
Iteration 28100, Residual: 6.074951e+03, Error: 6.662258e+01
Iteration 28200, Residual: 6.010230e+03, Error: 6.594118e+01
Iteration 28300, Residual: 5.946259e+03, Error: 6.526696e+01
Iteration 28400, Residual: 5.883028e+03, Error: 6.459983e+01
Iteration 28500, Residual: 5.820528e+03, Error: 6.393971e+01
Iteration 28600, Residual: 5.758748e+03, Error: 6.328653e+01
