mpicxx -O3 -DUSE_HIP -w src/task1.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 22900, Residual: 2.953867e+02, Error: 3.282627e+00
Iteration 23000, Residual: 2.887309e+02, Error: 3.207792e+00
Iteration 23100, Residual: 2.822252e+02, Error: 3.134642e+00
Iteration 23200, Residual: 2.758664e+02, Error: 3.063141e+00
Iteration 23300, Residual: 2.696511e+02, Error: 2.993251e+00
Iteration 23400, Residual: 2.635760e+02, Error: 2.924936e+00
Iteration 23500, Residual: 2.576380e+02, Error: 2.858160e+00
Iteration 23600, Residual: 2.518339e+02, Error: 2.792888e+00
Iteration 23700, Residual: 2.461607e+02, Error: 2.729087e+00
Iteration 23800, Residual: 2.406155e+02, Error: 2.666723e+00
Iteration 23900, Residual: 2.351953e+02, Error: 2.605764e+00
Iteration 24000, Residual: 2.298974e+02, Error: 2.546178e+00
Iteration 24100, Residual: 2.247190e+02, Error: 2.487935e+00
Iteration 24200, Residual: 2.196573e+02, Error: 2.431004e+00
Iteration 24300, Residual: 2.147097e+02, Error: 2.375356e+00
Iteration 24400, Residual: 2.098737e+02, Error: 2.320961e+00
Iteration 24500, Residual: 2.051467e+02, Error: 2.267791e+00
Iteration 24600, Residual: 2.005263e+02, Error: 2.215820e+00
Iteration 24700, Residual: 1.960100e+02, Error: 2.165019e+00
Iteration 24800, Residual: 1.915955e+02, Error: 2.115362e+00
Iteration 24900, Residual: 1.872805e+02, Error: 2.066825e+00
Iteration 25000, Residual: 1.830628e+02, Error: 2.019380e+00
Iteration 25100, Residual: 1.789401e+02, Error: 1.973005e+00
Iteration 25200, Residual: 1.749104e+02, Error: 1.927674e+00
Iteration 25300, Residual: 1.709714e+02, Error: 1.883365e+00
Iteration 25400, Residual: 1.671212e+02, Error: 1.840054e+00
Iteration 25500, Residual: 1.633578e+02, Error: 1.797718e+00
Iteration 25600, Residual: 1.596791e+02, Error: 1.756337e+00
Iteration 25700, Residual: 1.560834e+02, Error: 1.715887e+00
Iteration 25800, Residual: 1.525687e+02, Error: 1.676349e+00
Iteration 25900, Residual: 1.491331e+02, Error: 1.637702e+00
Iteration 26000, Residual: 1.457750e+02, Error: 1.599925e+00
Iteration 26100, Residual: 1.424925e+02, Error: 1.563000e+00
Iteration 26200, Residual: 1.392839e+02, Error: 1.526907e+00
Iteration 26300, Residual: 1.361476e+02, Error: 1.491627e+00
Iteration 26400, Residual: 1.330820e+02, Error: 1.457142e+00
Iteration 26500, Residual: 1.300855e+02, Error: 1.423434e+00
Iteration 26600, Residual: 1.271564e+02, Error: 1.390485e+00
Iteration 26700, Residual: 1.242933e+02, Error: 1.358279e+00
Iteration 26800, Residual: 1.214947e+02, Error: 1.326799e+00
Iteration 26900, Residual: 1.187592e+02, Error: 1.296028e+00
Iteration 27000, Residual: 1.160852e+02, Error: 1.265951e+00
Iteration 27100, Residual: 1.134715e+02, Error: 1.236552e+00
Iteration 27200, Residual: 1.109166e+02, Error: 1.207815e+00
Iteration 27300, Residual: 1.084193e+02, Error: 1.179726e+00
Iteration 27400, Residual: 1.059783e+02, Error: 1.152271e+00
Iteration 27500, Residual: 1.035922e+02, Error: 1.125434e+00
Iteration 27600, Residual: 1.012598e+02, Error: 1.099202e+00
Iteration 27700, Residual: 9.897996e+01, Error: 1.073562e+00
Iteration 27800, Residual: 9.675147e+01, Error: 1.048499e+00
Iteration 27900, Residual: 9.457317e+01, Error: 1.024002e+00
Iteration 28000, Residual: 9.244392e+01, Error: 1.000057e+00
Iteration 28100, Residual: 9.036262e+01, Error: 9.766525e-01
Iteration 28200, Residual: 8.832818e+01, Error: 9.537756e-01
Iteration 28300, Residual: 8.633956e+01, Error: 9.314147e-01
Iteration 28400, Residual: 8.439572e+01, Error: 9.095582e-01
Iteration 28500, Residual: 8.249565e+01, Error: 8.881948e-01
Iteration 28600, Residual: 8.063837e+01, Error: 8.673133e-01
Iteration 28700, Residual: 7.882290e+01, Error: 8.469030e-01
Iteration 28800, Residual: 7.704832e+01, Error: 8.269533e-01
Iteration 28900, Residual: 7.531369e+01, Error: 8.074539e-01
Iteration 29000, Residual: 7.361813e+01, Error: 7.883946e-01
Iteration 29100, Residual: 7.196074e+01, Error: 7.697655e-01
Iteration 29200, Residual: 7.034067e+01, Error: 7.515570e-01
Iteration 29300, Residual: 6.875708e+01, Error: 7.337597e-01
Iteration 29400, Residual: 6.720914e+01, Error: 7.163644e-01
Iteration 29500, Residual: 6.569606e+01, Error: 6.993619e-01
Iteration 29600, Residual: 6.421704e+01, Error: 6.827436e-01
Iteration 29700, Residual: 6.277133e+01, Error: 6.665007e-01
Iteration 29800, Residual: 6.135816e+01, Error: 6.506249e-01
Iteration 29900, Residual: 5.997682e+01, Error: 6.351080e-01
Iteration 30000, Residual: 5.862657e+01, Error: 6.199419e-01
Iteration 30100, Residual: 5.730673e+01, Error: 6.051187e-01
Iteration 30200, Residual: 5.601660e+01, Error: 5.906308e-01
Iteration 30300, Residual: 5.475552e+01, Error: 5.764707e-01
Iteration 30400, Residual: 5.352283e+01, Error: 5.626310e-01
Iteration 30500, Residual: 5.231790e+01, Error: 5.491046e-01
Iteration 30600, Residual: 5.114009e+01, Error: 5.358844e-01
Iteration 30700, Residual: 4.998880e+01, Error: 5.229636e-01
Iteration 30800, Residual: 4.886343e+01, Error: 5.103356e-01
Iteration 30900, Residual: 4.776340e+01, Error: 4.979937e-01
Iteration 31000, Residual: 4.668813e+01, Error: 4.859316e-01
Iteration 31100, Residual: 4.563707e+01, Error: 4.741431e-01
Iteration 31200, Residual: 4.460968e+01, Error: 4.626220e-01
Iteration 31300, Residual: 4.360541e+01, Error: 4.513624e-01
Iteration 31400, Residual: 4.262375e+01, Error: 4.403585e-01
Iteration 31500, Residual: 4.166420e+01, Error: 4.296045e-01
Iteration 31600, Residual: 4.072625e+01, Error: 4.190949e-01
Iteration 31700, Residual: 3.980941e+01, Error: 4.088243e-01
Iteration 31800, Residual: 3.891322e+01, Error: 3.987873e-01
Iteration 31900, Residual: 3.803720e+01, Error: 3.889788e-01
Iteration 32000, Residual: 3.718090e+01, Error: 3.793937e-01
Iteration 32100, Residual: 3.634388e+01, Error: 3.700271e-01
Iteration 32200, Residual: 3.552571e+01, Error: 3.608741e-01
Iteration 32300, Residual: 3.472595e+01, Error: 3.519299e-01
Iteration 32400, Residual: 3.394420e+01, Error: 3.431900e-01
Iteration 32500, Residual: 3.318005e+01, Error: 3.346499e-01
Iteration 32600, Residual: 3.243310e+01, Error: 3.263051e-01
Iteration 32700, Residual: 3.170297e+01, Error: 3.181513e-01
Iteration 32800, Residual: 3.098927e+01, Error: 3.101844e-01
Iteration 32900, Residual: 3.029165e+01, Error: 3.024002e-01
Iteration 33000, Residual: 2.960972e+01, Error: 2.947948e-01
Iteration 33100, Residual: 2.894315e+01, Error: 2.873641e-01
Iteration 33200, Residual: 2.829159e+01, Error: 2.801045e-01
Iteration 33300, Residual: 2.765469e+01, Error: 2.730121e-01
Iteration 33400, Residual: 2.703213e+01, Error: 2.660834e-01
Iteration 33500, Residual: 2.642359e+01, Error: 2.593147e-01
Iteration 33600, Residual: 2.582875e+01, Error: 2.527026e-01
Iteration 33700, Residual: 2.524729e+01, Error: 2.462436e-01
Iteration 33800, Residual: 2.467893e+01, Error: 2.399346e-01
Iteration 33900, Residual: 2.412337e+01, Error: 2.337723e-01
Iteration 34000, Residual: 2.358031e+01, Error: 2.277534e-01
Iteration 34100, Residual: 2.304947e+01, Error: 2.218750e-01
Iteration 34200, Residual: 2.253059e+01, Error: 2.161341e-01
Iteration 34300, Residual: 2.202338e+01, Error: 2.105277e-01
Iteration 34400, Residual: 2.152760e+01, Error: 2.050529e-01
Iteration 34500, Residual: 2.104298e+01, Error: 1.997071e-01
Iteration 34600, Residual: 2.056926e+01, Error: 1.944874e-01
Iteration 34700, Residual: 2.010621e+01, Error: 1.893914e-01
Iteration 34800, Residual: 1.965359e+01, Error: 1.844162e-01
Iteration 34900, Residual: 1.921115e+01, Error: 1.795596e-01
Iteration 35000, Residual: 1.877868e+01, Error: 1.748190e-01
Iteration 35100, Residual: 1.835594e+01, Error: 1.701920e-01
Iteration 35200, Residual: 1.794271e+01, Error: 1.656765e-01
Iteration 35300, Residual: 1.753879e+01, Error: 1.612700e-01
Iteration 35400, Residual: 1.714396e+01, Error: 1.569704e-01
Iteration 35500, Residual: 1.675802e+01, Error: 1.527756e-01
Iteration 35600, Residual: 1.638077e+01, Error: 1.486835e-01
Iteration 35700, Residual: 1.601202e+01, Error: 1.446921e-01
Iteration 35800, Residual: 1.565156e+01, Error: 1.407994e-01
Iteration 35900, Residual: 1.529922e+01, Error: 1.370037e-01
Iteration 36000, Residual: 1.495481e+01, Error: 1.333029e-01
Iteration 36100, Residual: 1.461815e+01, Error: 1.296954e-01
Iteration 36200, Residual: 1.428907e+01, Error: 1.261794e-01
Iteration 36300, Residual: 1.396740e+01, Error: 1.227532e-01
Iteration 36400, Residual: 1.365297e+01, Error: 1.194152e-01
